Date,Price,Open,High,Low,Vol.,Change %
01/08/2015,"26,808","27,150","27,150","26,770",21.73K,-1.29%
01/09/2015,"26,806","26,751","26,877","26,680",19.71K,-0.01%
01/12/2015,"27,032","26,865","27,119","26,839",21.93K,0.84%
01/13/2015,"27,071","27,118","27,258","27,020",22.93K,0.14%
01/14/2015,"27,210","27,013","27,280","26,916",24.40K,0.51%
01/15/2015,"27,493","27,150","27,546","26,731",50.28K,1.04%
01/16/2015,"27,673","27,540","27,798","27,383",28.54K,0.65%
01/17/2015,"27,627","27,627","27,627","27,627",,-0.17%
01/19/2015,"27,718","27,642","27,784","27,633",15.76K,0.33%
01/20/2015,"28,098","27,700","28,145","27,700",27.57K,1.37%
01/21/2015,"27,992","28,071","28,298","27,850",27.72K,-0.38%
01/22/2015,"28,055","27,966","28,240","27,762",27.56K,0.23%
01/23/2015,"27,884","28,015","28,114","27,813",18.52K,-0.61%
01/25/2015,"27,887","27,887","27,887","27,887",,0.01%
01/27/2015,"27,934","27,815","28,033","27,584",20.58K,0.17%
01/28/2015,"27,795","27,896","27,974","27,771",15.13K,-0.50%
01/29/2015,"27,470","27,782","27,848","27,435",22.61K,-1.17%
01/30/2015,"27,911","27,540","28,260","27,470",16.39K,1.61%
02/02/2015,"28,071","28,120","28,197","27,743",2.23K,0.57%
02/03/2015,"27,687","28,071","28,079","27,600",0.54K,-1.37%
02/04/2015,"27,814","27,660","27,835","27,578",0.17K,0.46%
02/05/2015,"27,683","27,785","27,900","27,461",0.11K,-0.47%
02/06/2015,"26,968","27,498","27,598","26,912",22.24K,-2.58%
02/09/2015,"27,119","27,011","27,172","26,996",13.60K,0.56%
02/10/2015,"27,016","27,180","27,180","26,984",13.53K,-0.38%
02/11/2015,"26,817","27,050","27,050","26,770",16.68K,-0.74%
02/12/2015,"26,635","26,756","26,920","26,620",15.85K,-0.68%
02/13/2015,"26,694","26,700","26,815","26,642",17.17K,0.22%
02/16/2015,"26,742","26,720","26,884","26,720",8.74K,0.18%
